I,V,R
0.0011118992004674928,0.005517363294767709,4.962107439638377
0.000443336809923424,0.0022373282820811074,5.046565572724614
0.0016584673150505424,0.008169013724217264,4.925640469416372
0.0022157072423101,0.011007114069730085,4.967765533073788
0.00274706977552547,0.013644947632675253,4.967091755092095
0.003308564485709803,0.016338034519502338,4.938103697258679
0.0038551326002928513,0.019127789974385436,4.961642557491385
0.004404769772581032,0.021889925838395385,4.969595908203098
0.004401700714875902,0.021917545429268534,4.979335681591532
0.004957057452499826,0.02466587149784191,4.975909949440469
0.0055507770900257245,0.027759463665533054,5.001004943148312
0.006119107451461237,0.030880675424097347,5.046597999635236
0.006655073464096914,0.03375329672266769,5.071814293976089
0.007766344839452626,0.03974713685087015,5.117869174306653
0.008882638315728093,0.04593432118625244,5.171247500297133
0.009981912660304454,0.05242533516337497,5.252033046918682
0.011066678673654344,0.058971602464379415,5.32875347729838
0.012150607729705049,0.06629126073623882,5.455797949445284
0.013230351784985037,0.07402524115546669,5.59510754955715
0.014312885840778836,0.08286407592029853,5.7894736842105265
0.015395419896572634,0.09170291068513038,5.956505980427693
0.01650864431514297,0.10164659979556619,6.157174257024138
0.017561185472576225,0.11207366710162114,6.381896442961486
0.01858094373113512,0.12436516992869848,6.693156802380615
0.019673940395993093,0.1376924781241969,6.998723964429624
0.020685328581585633,0.15495582550649217,7.491098093768547
0.021664631332719807,0.17401455943262692,8.032195736920528
0.022681599447915042,0.19901189430521785,8.774156106681074
0.02443792727020992,0.26267912420288025,10.748829935470377
0.025277728138605536,0.30383495211216244,12.019867863367397
0.02610636893352098,0.3460956272959808,13.25713385026091
0.02707172146781133,0.38863251960173406,14.35566334648588
0.027933842626017124,0.4303407746838182,15.405713436754521
